Name,Category,Units,Drink Value,Other Value,Relevant Value,Comparison To HGL,Comparison Label,Index Value,Index Display,Classification
"1,2 Dichloropropane",highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Carbon Tetrachloride,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Dichloromethane,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Tetrachloroethylene,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Trichloroethylene,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Vinyl Chloride,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Benzene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Dibromochloropropane,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Ethylene dibromide,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
"1,1,2 Trichloroethane",highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
"1,2 Dichloroethane",highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Bromodichloromethane,highly volatile organics,PPB,,1.8,1.8,,No safe level,104.5,,Moderate
Chloroform,highly volatile organics,PPB,,6.27,6.27,27.499999999999996,,54.33505302378905,,Good
Dibromochloromethane,highly volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Antimony,metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Arsenic,metals/inorganics,PPM,,0.00049,,,Not Detected,,Not Detected,-
Barium,metals/inorganics,PPM,0.0017,0.03,0.0017,-0.99915,,0.042499999999999996,,Optimal
Beryllium,metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Cadmium,metals/inorganics,PPM,,1e-05,,,Not Detected,,Not Detected,-
Chromium (Total),metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Copper,metals/inorganics,PPM,0.0063,0.17,0.0063,-0.979,,1.05,,Optimal
Lead,metals/inorganics,PPM,,6e-05,,,Not Detected,,Not Detected,-
Mercury,metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Selenium,metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Thallium,metals/inorganics,PPM,,,,,Not Detected,,Not Detected,-
Uranium,metals/inorganics,PPM,,0.00017,,,Not Detected,,Not Detected,-
"1,4 Dichlorobenzene",moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Chlorobenzene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Ethylbenzene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
"m,p Xylene",moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
o Xylene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Styrene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Toluene,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
"1,2,4 Trichlorobenzene",moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Bromoform,moderately volatile organics,PPB,,,,,Not Detected,,Not Detected,-
Fluoride,metals/inorganics,PPM,0.6,0.68,0.6,-0.2500000000000001,,37.5,,Optimal
Nitrate (as N),metals/inorganics,PPM,1.1,1.09,1.1,-0.89,,5.500000000000001,,Optimal
