Parameter,Category,HGL,CA average,Kitchen Tap,Shower
"1,2 Dichloropropane",highly volatile organics,0.5,0.73,< 2,Not detected
Carbon Tetrachloride,highly volatile organics,0.1,2.4,< 2,Not detected
Dichloromethane,highly volatile organics,4.0,1.9,< 2,Not detected
Tetrachloroethylene,highly volatile organics,0.06,3.3,< 2,Not detected
Trichloroethylene,highly volatile organics,0.4,4.5,< 2,Not detected
Vinyl Chloride,highly volatile organics,0.05,0.88,< 2,Not detected
Benzene,moderately volatile organics,0.15,1.3,< 2,Not detected
Dibromochloropropane,moderately volatile organics,0.0017,0.077,< 2,Not detected
Ethylene dibromide,moderately volatile organics,0.01,0.063,< 2,Not detected
"1,1,2 Trichloroethane",highly volatile organics,0.3,0.94,< 2,Not detected
"1,2 Dichloroethane",highly volatile organics,0.4,1.0,< 2,Not detected
Bromodichloromethane,highly volatile organics,,7.5,< 2,1.8
Chloroform,highly volatile organics,0.22,15.2,< 2,6.27
Dibromochloromethane,highly volatile organics,0.1,8.6,< 2,< 0.506
Antimony,metals/inorganics,0.001,0.0017,< 0.001,Not detected
Arsenic,metals/inorganics,,0.0084,< 0.001,0.00049
Barium,metals/inorganics,2.0,0.12,0.0017,0.03
Beryllium,metals/inorganics,0.001,0.00066,< 0.001,Not detected
Cadmium,metals/inorganics,4e-05,0.0021,< 0.0002,1.0E-5
Chromium (Total),metals/inorganics,0.1,0.0082,< 0.001,Not detected
Copper,metals/inorganics,0.3,0.13,0.0063,0.17
Lead,metals/inorganics,,0.0052,< 0.0005,6.0E-5
Mercury,metals/inorganics,0.0012,0.0025,< 0.002,Not detected
Selenium,metals/inorganics,0.03,0.011,< 0.002,Not detected
Thallium,metals/inorganics,0.0001,0.0011,< 0.0005,Not detected
Uranium,metals/inorganics,,0.017,< 0.0005,0.00017
"1,4 Dichlorobenzene",moderately volatile organics,6.0,1.6,< 2,Not detected
Chlorobenzene,moderately volatile organics,70.0,1.2,< 2,Not detected
Ethylbenzene,moderately volatile organics,300.0,2.9,< 2,Not detected
"m,p Xylene",moderately volatile organics,1800.0,2.3,< 2,Not detected
o Xylene,moderately volatile organics,1800.0,1.9,< 2,Not detected
Styrene,moderately volatile organics,0.5,0.96,< 2,Not detected
Toluene,moderately volatile organics,150.0,6.5,< 2,Not detected
"1,2,4 Trichlorobenzene",moderately volatile organics,5.0,0.83,< 2,Not detected
Bromoform,moderately volatile organics,,6.8,< 2,Not detected
Fluoride,metals/inorganics,0.8,0.68,0.6,0.68
Nitrate (as N),metals/inorganics,10.0,0.98,1.1,1.09
Nitrite (as N),metals/inorganics,1.0,0.21,0.23,0.2
"1,1 Dichloroethane",highly volatile organics,3.0,0.78,< 2,Not detected
"1,1 Dichloroethylene",highly volatile organics,,1.6,< 2,Not detected
"1,1 Dichloropropene",highly volatile organics,,0.65,< 2,Not detected
"1,1,1 Trichloroethane",highly volatile organics,,1.2,< 2,Not detected
"1,1,1,2 Tetrachloroethane",highly volatile organics,,,< 2,Not detected
"1,1,2,2 Tetrachloroethane",highly volatile organics,0.1,0.76,< 2,Not detected
"1,3 Dichloropropane",highly volatile organics,0.5,0.19,< 2,Not detected
"2,2 Dichloropropane",highly volatile organics,,0.72,< 2,Not detected
Bromochloromethane,highly volatile organics,,1.3,< 2,Not detected
Bromomethane,highly volatile organics,,1.3,< 2,Not detected
Chloroethane,highly volatile organics,,2.3,< 2,Not detected
Chloromethane,highly volatile organics,2.69,1.3,< 2,Not detected
"cis 1,2 Dichloroethylene",highly volatile organics,,1.5,< 2,Not detected
"cis 1,3 Dichloropropene",highly volatile organics,0.5,0.013,< 2,Not detected
Dibromomethane,highly volatile organics,,1.6,< 2,Not detected
Dichlorodifluoromethane,highly volatile organics,,1.6,< 2,Not detected
"trans 1,3 Dichloropropene",highly volatile organics,0.5,0.0086,< 2,Not detected
